"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"19236","Justin Jefferson","WR","MIN","13",1,1,1,1,"00-0036322"
"19788","Ja'Marr Chase","WR","CIN","7",2,1,2,1,"00-0036900"
"16393","Christian McCaffrey","RB","SF","9",3,1,1,1,"00-0033280"
"15802","Tyreek Hill","WR","MIA","10",4,1,3,1,"00-0033040"
"13981","Stefon Diggs","WR","HOU","7",5,2,4,2,"00-0031588"
"16483","Austin Ekeler","RB","WAS","14",6,2,2,1,"00-0033699"
"19202","CeeDee Lamb","WR","DAL","7",7,2,5,2,"00-0036358"
"19799","Amon-Ra St. Brown","WR","DET","9",8,2,6,2,"00-0036963"
"11594","Travis Kelce","TE","KC","10",9,2,1,1,"00-0030506"
"18218","A.J. Brown","WR","PHI","10",10,2,7,2,"00-0035676"
"17240","Saquon Barkley","RB","PHI","10",11,2,3,1,"00-0034844"
"12123","Davante Adams","WR","LV","13",12,2,8,2,"00-0031381"
"23072","Garrett Wilson","WR","NYJ","7",13,2,9,2,"00-0037740"
"23133","Bijan Robinson","RB","ATL","11",14,3,4,1,"00-0038542"
"18705","Tony Pollard","RB","TEN","7",15,3,5,1,"00-0035261"
"19790","Jaylen Waddle","WR","MIA","10",16,3,10,3,"00-0036613"
"17246","Nick Chubb","RB","CLE","5",17,3,6,2,"00-0034791"
"20111","Chris Olave","WR","NO","11",18,3,11,3,"00-0037239"
"18269","Josh Jacobs","RB","GB","6",19,3,7,2,"00-0035700"
"15514","Derrick Henry","RB","BAL","13",20,3,8,2,"00-0032764"
"19222","DeVonta Smith","WR","PHI","10",21,3,12,3,"00-0036912"
"16433","Cooper Kupp","WR","LAR","10",22,4,13,3,"00-0033908"
"19211","Tee Higgins","WR","CIN","7",23,4,14,3,"00-0036410"
"11616","Keenan Allen","WR","CHI","13",24,4,15,3,"00-0030279"
"16413","Patrick Mahomes II","QB","KC","10",25,4,1,1,"00-0033873"
"19275","Jalen Hurts","QB","PHI","10",26,4,2,1,"00-0036389"
"17298","Josh Allen","QB","BUF","13",27,4,3,1,"00-0034857"
"22726","Rhamondre Stevenson","RB","NE","11",28,4,9,2,"00-0036875"
"17258","Calvin Ridley","WR","TEN","7",29,4,17,3,"00-0034837"
"18219","DK Metcalf","WR","SEA","5",30,4,16,3,"00-0035640"
"17269","Mark Andrews","TE","BAL","13",31,4,2,1,"00-0034753"
"16420","Joe Mixon","RB","HOU","7",32,4,10,2,"00-0033897"
"13894","Amari Cooper","WR","CLE","5",33,4,18,4,"00-0031544"
"22968","Jahmyr Gibbs","RB","DET","9",34,4,11,3,"00-0039139"
"19302","Najee Harris","RB","PIT","6",35,5,12,3,"00-0036893"
"19231","Travis Etienne Jr.","RB","JAC","9",36,5,13,3,"00-0036973"
"16673","Aaron Jones","RB","MIN","13",37,5,14,3,"00-0033293"
"17233","Lamar Jackson","QB","BAL","13",38,5,4,2,"00-0034796"
"18244","Deebo Samuel Sr.","WR","SF","9",39,5,19,4,"00-0035719"
"11606","DeAndre Hopkins","WR","TEN","7",40,5,20,4,"00-0030564"
"17265","DJ Moore","WR","CHI","13",41,5,21,4,"00-0034827"
"16406","Chris Godwin","WR","TB","5",42,5,22,4,"00-0033921"
"23163","Drake London","WR","ATL","11",43,5,23,4,"00-0037238"
"18615","Diontae Johnson","WR","CAR","7",44,5,24,4,"00-0035216"
"13971","Tyler Lockett","WR","SEA","5",45,5,25,4,"00-0032211"
"19196","Joe Burrow","QB","CIN","7",46,5,5,2,"00-0036442"
"23886","Christian Watson","WR","GB","6",47,5,26,4,"00-0038124"
"18466","Terry McLaurin","WR","WAS","14",48,5,27,4,"00-0035659"
"18635","Justin Herbert","QB","LAC","5",49,5,6,2,"00-0036355"
"19252","Brandon Aiyuk","WR","SF","9",50,5,28,4,"00-0036261"
