"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"16393","Christian McCaffrey","RB","SF","9",1,1,1,1,"00-0033280"
"19202","CeeDee Lamb","WR","DAL","7",2,1,1,1,"00-0036358"
"15802","Tyreek Hill","WR","MIA","6",3,1,2,1,"00-0033040"
"19788","Ja'Marr Chase","WR","CIN","12",4,1,3,1,"00-0036900"
"19799","Amon-Ra St. Brown","WR","DET","5",5,1,4,1,"00-0036963"
"22982","Breece Hall","RB","NYJ","12",6,1,2,1,"00-0038120"
"23133","Bijan Robinson","RB","ATL","12",7,1,3,1,"00-0038542"
"19236","Justin Jefferson","WR","MIN","6",8,1,5,1,"00-0036322"
"18218","A.J. Brown","WR","PHI","5",9,2,6,2,"00-0035676"
"23072","Garrett Wilson","WR","NYJ","12",10,2,7,2,"00-0037740"
"22968","Jahmyr Gibbs","RB","DET","5",11,2,4,2,"00-0039139"
"23180","Puka Nacua","WR","LAR","6",12,2,8,2,"00-0039075"
"19217","Jonathan Taylor","RB","IND","14",13,2,5,2,"00-0036223"
"23064","Marvin Harrison Jr.","WR","ARI","11",14,2,9,2,NA
"17240","Saquon Barkley","RB","PHI","5",15,2,6,2,"00-0034844"
"12123","Davante Adams","WR","LV","10",16,2,10,2,"00-0031381"
"23163","Drake London","WR","ATL","12",17,3,11,2,"00-0037238"
"20111","Chris Olave","WR","NO","12",18,3,12,3,"00-0037239"
"17298","Josh Allen","QB","BUF","12",19,3,1,1,"00-0034857"
"19231","Travis Etienne Jr.","RB","JAC","12",20,3,7,2,"00-0036973"
"19790","Jaylen Waddle","WR","MIA","6",21,3,13,3,"00-0036613"
"19275","Jalen Hurts","QB","PHI","5",22,3,2,1,"00-0036389"
"19278","Michael Pittman Jr.","WR","IND","14",23,3,14,3,"00-0036252"
"12119","Mike Evans","WR","TB","11",24,3,15,3,"00-0031408"
"16433","Cooper Kupp","WR","LAR","6",25,3,16,3,"00-0033908"
"20130","Nico Collins","WR","HOU","14",26,3,17,3,"00-0036554"
"19252","Brandon Aiyuk","WR","SF","9",27,3,18,3,"00-0036261"
"22978","Sam LaPorta","TE","DET","5",28,3,1,1,"00-0039065"
"23059","Kyren Williams","RB","LAR","6",29,3,8,2,"00-0037840"
"16413","Patrick Mahomes II","QB","KC","6",30,4,3,1,"00-0033873"
"11594","Travis Kelce","TE","KC","6",31,4,2,1,"00-0030506"
"24333","Isiah Pacheco","RB","KC","6",32,4,9,3,"00-0037197"
"17233","Lamar Jackson","QB","BAL","14",33,4,4,1,"00-0034796"
"18244","Deebo Samuel Sr.","WR","SF","9",34,4,19,3,"00-0035719"
"23136","De'Von Achane","RB","MIA","6",35,4,10,3,"00-0039040"
"19222","DeVonta Smith","WR","PHI","5",36,4,20,4,"00-0036912"
"17265","DJ Moore","WR","CHI","7",37,4,21,4,"00-0034827"
"18219","DK Metcalf","WR","SEA","10",38,4,22,4,"00-0035640"
"15514","Derrick Henry","RB","BAL","14",39,4,11,3,"00-0032764"
"25409","Malik Nabers","WR","NYG","11",40,4,23,4,NA
"23891","Rachaad White","RB","TB","11",41,4,12,3,"00-0037256"
"13981","Stefon Diggs","WR","HOU","14",42,4,24,4,"00-0031588"
"13894","Amari Cooper","WR","CLE","10",43,4,25,4,"00-0031544"
"16421","Alvin Kamara","RB","NO","12",44,4,13,3,"00-0033906"
"22958","James Cook","RB","BUF","12",45,5,14,3,"00-0037248"
"18269","Josh Jacobs","RB","GB","10",46,5,15,3,"00-0035700"
"24347","Anthony Richardson","QB","IND","14",47,5,6,2,"00-0039164"
"22936","Trey McBride","TE","ARI","11",48,5,3,1,"00-0037744"
"22916","Zay Flowers","WR","BAL","14",49,5,27,4,"00-0039064"
"19211","Tee Higgins","WR","CIN","12",50,5,29,4,"00-0036410"
"16420","Joe Mixon","RB","HOU","14",51,5,16,3,"00-0033897"
"23071","C.J. Stroud","QB","HOU","14",52,5,5,2,"00-0039163"
"23113","Rashee Rice","WR","KC","6",53,5,26,4,"00-0039067"
"18466","Terry McLaurin","WR","WAS","14",54,5,28,4,"00-0035659"
"23021","Kenneth Walker III","RB","SEA","10",55,5,17,3,"00-0038134"
"22963","George Pickens","WR","PIT","9",56,5,30,4,"00-0037247"
"18600","Kyler Murray","QB","ARI","11",57,5,7,2,"00-0035228"
"17268","Christian Kirk","WR","JAC","12",58,5,31,4,"00-0034775"
"17269","Mark Andrews","TE","BAL","14",59,5,4,2,"00-0034753"
"25361","Tank Dell","WR","HOU","14",60,5,32,5,"00-0038977"
"19196","Joe Burrow","QB","CIN","12",61,5,8,2,"00-0036442"
"16406","Chris Godwin","WR","TB","11",62,5,33,5,"00-0033921"
"15600","Dak Prescott","QB","DAL","7",63,5,9,2,"00-0033077"
"25247","Dalton Kincaid","TE","BUF","12",64,5,5,2,"00-0038933"
"16447","James Conner","RB","ARI","11",65,5,18,4,"00-0033553"
"11616","Keenan Allen","WR","CHI","7",66,5,34,5,"00-0030279"
"18615","Diontae Johnson","WR","CAR","11",67,5,35,5,"00-0035216"
"16673","Aaron Jones","RB","MIN","6",68,5,19,4,"00-0033293"
"22726","Rhamondre Stevenson","RB","NE","14",69,5,20,4,"00-0036875"
"19246","Jordan Love","QB","GB","10",70,5,10,2,"00-0036264"
"17258","Calvin Ridley","WR","TEN","5",71,6,36,5,"00-0034837"
"18239","David Montgomery","RB","DET","5",72,6,21,4,"00-0035685"
"19210","D'Andre Swift","RB","CHI","7",73,6,23,4,"00-0036275"
"22902","Jayden Daniels","QB","WAS","14",74,6,11,3,NA
"19302","Najee Harris","RB","PIT","9",75,6,22,4,"00-0036893"
"16411","Evan Engram","TE","JAC","12",76,6,6,2,"00-0033881"
"19797","Brock Purdy","QB","SF","9",77,6,12,3,"00-0037834"
"20095","Zamir White","RB","LV","10",78,6,24,4,"00-0038040"
"22739","Javonte Williams","RB","DEN","14",79,6,25,4,"00-0036997"
"20164","Kyle Pitts","TE","ATL","12",80,6,7,2,"00-0036970"
"23020","Jayden Reed","WR","GB","10",81,6,37,5,"00-0039146"
"14338","Raheem Mostert","RB","MIA","6",82,6,26,4,"00-0031687"
"23070","Jaxon Smith-Njigba","WR","SEA","10",83,6,38,5,"00-0038543"
"18705","Tony Pollard","RB","TEN","5",84,6,27,4,"00-0035261"
"16499","George Kittle","TE","SF","9",85,6,8,2,"00-0033288"
"23084","Caleb Williams","QB","CHI","7",86,6,14,3,NA
"19198","Tua Tagovailoa","QB","MIA","6",87,6,13,3,"00-0036212"
"24209","Jaylen Warren","RB","PIT","9",88,6,28,5,"00-0037228"
"20094","Brian Robinson Jr.","RB","WAS","14",89,6,29,5,"00-0037746"
"23019","Xavier Worthy","WR","KC","6",90,6,42,5,NA
"11606","DeAndre Hopkins","WR","TEN","5",91,6,39,5,"00-0030564"
"15501","Jared Goff","QB","DET","5",92,6,15,3,"00-0033106"
"22718","Jake Ferguson","TE","DAL","7",93,6,9,2,"00-0038041"
"25323","Tyjae Spears","RB","TEN","5",94,7,30,5,"00-0039032"
"18280","Devin Singletary","RB","NYG","11",95,7,31,5,"00-0035250"
"19780","Trevor Lawrence","QB","JAC","12",96,7,16,3,"00-0036971"
"25411","Rome Odunze","WR","CHI","7",97,7,41,5,NA
"16399","David Njoku","TE","CLE","10",98,7,10,3,"00-0033885"
"17253","Courtland Sutton","WR","DEN","14",99,7,40,5,"00-0034348"
"23886","Christian Watson","WR","GB","10",100,7,43,6,"00-0038124"
"23107","Jordan Addison","WR","MIN","6",101,7,45,6,"00-0038994"
"22955","Brock Bowers","TE","LV","10",102,7,11,3,NA
"18226","Hollywood Brown","WR","KC","6",103,7,46,6,"00-0035662"
"26122","Ladd McConkey","WR","LAC","5",104,7,44,6,NA
"17270","Dallas Goedert","TE","PHI","5",105,7,12,3,"00-0034351"
"11177","Kirk Cousins","QB","ATL","12",106,7,17,3,"00-0029604"
"18635","Justin Herbert","QB","LAC","5",107,7,18,3,"00-0036355"
"16483","Austin Ekeler","RB","WAS","14",108,7,33,5,"00-0033699"
"23000","Brian Thomas Jr.","WR","JAC","12",109,7,47,6,NA
"25324","Chase Brown","RB","CIN","12",110,7,32,5,"00-0038597"
"19263","Zack Moss","RB","CIN","12",111,7,34,5,"00-0036251"
"13971","Tyler Lockett","WR","SEA","10",112,7,48,6,"00-0032211"
"9451","Matthew Stafford","QB","LAR","6",113,7,19,3,"00-0026498"
"26148","Jonathon Brooks","RB","CAR","11",114,7,35,5,NA
"20163","Pat Freiermuth","TE","PIT","9",115,7,13,3,"00-0036894"
"18598","Jakobi Meyers","WR","LV","10",116,7,49,6,"00-0034960"
"17349","Dalton Schultz","TE","HOU","14",117,7,14,3,"00-0034383"
"22921","Jerome Ford","RB","CLE","10",118,7,36,5,"00-0037267"
"23677","Jameson Williams","WR","DET","5",119,7,50,6,"00-0037240"
"9001","Aaron Rodgers","QB","NYJ","12",120,7,20,4,"00-0023459"
"17687","Gus Edwards","RB","LAC","5",121,7,37,5,"00-0034184"
"26019","Keon Coleman","WR","BUF","12",122,7,51,6,NA
"22845","Joshua Palmer","WR","LAC","5",123,7,52,6,"00-0036988"
"16398","Deshaun Watson","QB","CLE","10",124,7,21,4,"00-0033537"
"15498","Ezekiel Elliott","RB","DAL","7",125,7,38,5,"00-0033045"
"23794","Romeo Doubs","WR","GB","10",126,8,53,6,"00-0037816"
"17246","Nick Chubb","RB","CLE","10",127,8,39,5,"00-0034791"
"11687","Geno Smith","QB","SEA","10",128,8,22,4,"00-0030565"
"23152","Zach Charbonnet","RB","SEA","10",129,8,40,5,"00-0039165"
"18290","T.J. Hockenson","TE","MIN","6",130,8,15,3,"00-0035229"
