"fantasypros_id","player_name","pos","team","player_bye_week","rank","tier","position_rank","position_tier","gsis_id"
"16393","Christian McCaffrey","RB","SF","9",1,1,1,1,"00-0033280"
"19202","CeeDee Lamb","WR","DAL","7",2,1,1,1,"00-0036358"
"15802","Tyreek Hill","WR","MIA","6",3,1,2,1,"00-0033040"
"19799","Amon-Ra St. Brown","WR","DET","5",4,1,3,1,"00-0036963"
"19788","Ja'Marr Chase","WR","CIN","12",5,1,4,1,"00-0036900"
"22982","Breece Hall","RB","NYJ","12",6,1,2,1,"00-0038120"
"19236","Justin Jefferson","WR","MIN","6",7,1,5,2,"00-0036322"
"23133","Bijan Robinson","RB","ATL","12",8,1,3,1,"00-0038542"
"18218","A.J. Brown","WR","PHI","5",9,2,7,2,"00-0035676"
"23072","Garrett Wilson","WR","NYJ","12",10,2,6,2,"00-0037740"
"22968","Jahmyr Gibbs","RB","DET","5",11,2,4,1,"00-0039139"
"19217","Jonathan Taylor","RB","IND","14",12,2,5,1,"00-0036223"
"17240","Saquon Barkley","RB","PHI","5",13,2,6,1,"00-0034844"
"23180","Puka Nacua","WR","LAR","6",14,2,8,3,"00-0039075"
"12123","Davante Adams","WR","LV","10",15,2,9,3,"00-0031381"
"23163","Drake London","WR","ATL","12",16,2,10,3,"00-0037238"
"19231","Travis Etienne Jr.","RB","JAC","12",17,3,7,2,"00-0036973"
"23064","Marvin Harrison Jr.","WR","ARI","11",18,3,11,3,"00-0039849"
"20111","Chris Olave","WR","NO","12",19,3,12,3,"00-0037239"
"17298","Josh Allen","QB","BUF","12",20,3,1,1,"00-0034857"
"16433","Cooper Kupp","WR","LAR","6",21,3,13,3,"00-0033908"
"19275","Jalen Hurts","QB","PHI","5",22,3,2,1,"00-0036389"
"19790","Jaylen Waddle","WR","MIA","6",23,3,14,3,"00-0036613"
"22978","Sam LaPorta","TE","DET","5",24,3,1,1,"00-0039065"
"20130","Nico Collins","WR","HOU","14",25,3,16,3,"00-0036554"
"12119","Mike Evans","WR","TB","11",26,3,15,3,"00-0031408"
"11594","Travis Kelce","TE","KC","6",27,3,2,1,"00-0030506"
"16413","Patrick Mahomes II","QB","KC","6",28,3,3,1,"00-0033873"
"19278","Michael Pittman Jr.","WR","IND","14",29,3,17,3,"00-0036252"
"23136","De'Von Achane","RB","MIA","6",30,4,8,2,"00-0039040"
"19252","Brandon Aiyuk","WR","SF","9",31,4,18,4,"00-0036261"
"24333","Isiah Pacheco","RB","KC","6",32,4,9,2,"00-0037197"
"15514","Derrick Henry","RB","BAL","14",33,4,10,2,"00-0032764"
"18269","Josh Jacobs","RB","GB","10",34,4,12,3,"00-0035700"
"23059","Kyren Williams","RB","LAR","6",35,4,11,3,"00-0037840"
"17233","Lamar Jackson","QB","BAL","14",36,4,4,1,"00-0034796"
"18244","Deebo Samuel Sr.","WR","SF","9",37,4,19,4,"00-0035719"
"19222","DeVonta Smith","WR","PHI","5",38,4,20,4,"00-0036912"
"16421","Alvin Kamara","RB","NO","12",39,4,13,3,"00-0033906"
"18219","DK Metcalf","WR","SEA","10",40,4,21,4,"00-0035640"
"17265","DJ Moore","WR","CHI","7",41,4,22,4,"00-0034827"
"22958","James Cook","RB","BUF","12",42,4,15,3,"00-0037248"
"23891","Rachaad White","RB","TB","11",43,4,14,3,"00-0037256"
"25409","Malik Nabers","WR","NYG","11",44,4,23,4,"00-0039337"
"13981","Stefon Diggs","WR","HOU","14",45,4,24,4,"00-0031588"
"22936","Trey McBride","TE","ARI","11",46,4,3,1,"00-0037744"
"23113","Rashee Rice","WR","KC","6",47,4,25,4,"00-0039067"
"13894","Amari Cooper","WR","CLE","10",48,5,26,4,"00-0031544"
"23021","Kenneth Walker III","RB","SEA","10",49,5,17,3,"00-0038134"
"16420","Joe Mixon","RB","HOU","14",50,5,16,3,"00-0033897"
"18466","Terry McLaurin","WR","WAS","14",51,5,27,5,"00-0035659"
"19211","Tee Higgins","WR","CIN","12",52,5,28,5,"00-0036410"
"24347","Anthony Richardson","QB","IND","14",53,5,6,2,"00-0039164"
"22916","Zay Flowers","WR","BAL","14",54,5,29,5,"00-0039064"
"17269","Mark Andrews","TE","BAL","14",55,5,4,2,"00-0034753"
"22963","George Pickens","WR","PIT","9",56,5,30,5,"00-0037247"
"18600","Kyler Murray","QB","ARI","11",57,5,7,2,"00-0035228"
"23071","C.J. Stroud","QB","HOU","14",58,5,5,2,"00-0039163"
"17268","Christian Kirk","WR","JAC","12",59,5,31,5,"00-0034775"
"25247","Dalton Kincaid","TE","BUF","12",60,5,5,2,"00-0038933"
"16447","James Conner","RB","ARI","11",61,5,18,4,"00-0033553"
"19196","Joe Burrow","QB","CIN","12",62,5,8,2,"00-0036442"
"16406","Chris Godwin","WR","TB","11",63,5,32,5,"00-0033921"
"16673","Aaron Jones","RB","MIN","6",64,5,19,4,"00-0033293"
"25361","Tank Dell","WR","HOU","14",65,5,33,5,"00-0038977"
"22726","Rhamondre Stevenson","RB","NE","14",66,5,20,4,"00-0036875"
"15600","Dak Prescott","QB","DAL","7",67,5,9,2,"00-0033077"
"18615","Diontae Johnson","WR","CAR","11",68,5,34,5,"00-0035216"
"19246","Jordan Love","QB","GB","10",69,5,10,3,"00-0036264"
"18239","David Montgomery","RB","DET","5",70,5,21,4,"00-0035685"
"22739","Javonte Williams","RB","DEN","14",71,6,22,4,"00-0036997"
"17258","Calvin Ridley","WR","TEN","5",72,6,35,5,"00-0034837"
"11616","Keenan Allen","WR","CHI","7",73,6,36,5,"00-0030279"
"16411","Evan Engram","TE","JAC","12",74,6,6,2,"00-0033881"
"19210","D'Andre Swift","RB","CHI","7",75,6,23,4,"00-0036275"
"19302","Najee Harris","RB","PIT","9",76,6,24,4,"00-0036893"
"18705","Tony Pollard","RB","TEN","5",77,6,25,4,"00-0035261"
"14338","Raheem Mostert","RB","MIA","6",78,6,26,4,"00-0031687"
"23070","Jaxon Smith-Njigba","WR","SEA","10",79,6,37,5,"00-0038543"
"20164","Kyle Pitts","TE","ATL","12",80,6,7,2,"00-0036970"
"22902","Jayden Daniels","QB","WAS","14",81,6,11,3,"00-0039910"
"24209","Jaylen Warren","RB","PIT","9",82,6,28,4,"00-0037228"
"20095","Zamir White","RB","LV","10",83,6,27,4,"00-0038040"
"19797","Brock Purdy","QB","SF","9",84,6,12,3,"00-0037834"
"23020","Jayden Reed","WR","GB","10",85,6,38,5,"00-0039146"
"16499","George Kittle","TE","SF","9",86,6,8,2,"00-0033288"
"18280","Devin Singletary","RB","NYG","11",87,6,29,4,"00-0035250"
"25323","Tyjae Spears","RB","TEN","5",88,6,31,4,"00-0039032"
"20094","Brian Robinson Jr.","RB","WAS","14",89,6,30,4,"00-0037746"
"11606","DeAndre Hopkins","WR","TEN","5",90,6,39,6,"00-0030564"
"22718","Jake Ferguson","TE","DAL","7",91,6,9,2,"00-0038041"
"17253","Courtland Sutton","WR","DEN","14",92,6,40,6,"00-0034348"
"19198","Tua Tagovailoa","QB","MIA","6",93,6,15,3,"00-0036212"
"16399","David Njoku","TE","CLE","10",94,6,10,3,"00-0033885"
"23084","Caleb Williams","QB","CHI","7",95,6,13,3,"00-0039918"
"19780","Trevor Lawrence","QB","JAC","12",96,6,14,3,"00-0036971"
"15501","Jared Goff","QB","DET","5",97,6,16,3,"00-0033106"
"25411","Rome Odunze","WR","CHI","7",98,7,43,6,"00-0039919"
"23886","Christian Watson","WR","GB","10",99,7,44,6,"00-0038124"
"22955","Brock Bowers","TE","LV","10",100,7,11,3,"00-0039338"
"22921","Jerome Ford","RB","CLE","10",101,7,32,5,"00-0037267"
"23000","Brian Thomas Jr.","WR","JAC","12",102,7,41,6,"00-0039893"
"17270","Dallas Goedert","TE","PHI","5",103,7,12,3,"00-0034351"
"23019","Xavier Worthy","WR","KC","6",104,7,42,6,"00-0039894"
"25324","Chase Brown","RB","CIN","12",105,7,33,5,"00-0038597"
"16483","Austin Ekeler","RB","WAS","14",106,7,35,5,"00-0033699"
"19263","Zack Moss","RB","CIN","12",107,7,34,5,"00-0036251"
"26122","Ladd McConkey","WR","LAC","5",108,7,45,6,"00-0039915"
"23107","Jordan Addison","WR","MIN","6",109,7,46,6,"00-0038994"
"11177","Kirk Cousins","QB","ATL","12",110,7,17,4,"00-0029604"
"18635","Justin Herbert","QB","LAC","5",111,7,18,4,"00-0036355"
"20163","Pat Freiermuth","TE","PIT","9",112,7,13,3,"00-0036894"
"13971","Tyler Lockett","WR","SEA","10",113,7,47,6,"00-0032211"
"9451","Matthew Stafford","QB","LAR","6",114,7,19,4,"00-0026498"
"18598","Jakobi Meyers","WR","LV","10",115,7,48,6,"00-0034960"
"17349","Dalton Schultz","TE","HOU","14",116,7,14,3,"00-0034383"
"22845","Joshua Palmer","WR","LAC","5",117,7,49,6,"00-0036988"
"17687","Gus Edwards","RB","LAC","5",118,7,36,5,"00-0034184"
"18226","Marquise Brown","WR","KC","6",119,7,52,6,"00-0035662"
"23677","Jameson Williams","WR","DET","5",120,7,50,6,"00-0037240"
"19792","Chuba Hubbard","RB","CAR","11",121,7,37,5,"00-0036555"
"23794","Romeo Doubs","WR","GB","10",122,7,54,6,"00-0037816"
"9001","Aaron Rodgers","QB","NYJ","12",123,7,20,4,"00-0023459"
"15498","Ezekiel Elliott","RB","DAL","7",124,7,38,5,"00-0033045"
"26019","Keon Coleman","WR","BUF","12",125,7,51,6,"00-0039901"
"23152","Zach Charbonnet","RB","SEA","10",126,7,40,5,"00-0039165"
"23748","Khalil Shakir","WR","BUF","12",127,7,53,6,"00-0037261"
"16434","Curtis Samuel","WR","BUF","12",128,7,55,6,"00-0033282"
"26148","Jonathon Brooks","RB","CAR","11",129,7,39,5,"00-0039344"
